domain,fail_count,stages,error_types,last_institution,sample_url,sample_message
www.mamasillust.com,3,homepage,RuntimeError,마마스일러스트,http://www.mamasillust.com/,HTTP request failed after retries: <urlopen error [Errno 11001] getaddrinfo failed>
www.kogangart.co.kr,3,homepage,RuntimeError,고강서예학원,http://www.kogangart.co.kr/,HTTP request failed after retries: <urlopen error [Errno 11001] getaddrinfo failed>
www.gmcf.or.kr,3,homepage,RuntimeError,광명시민회관,http://www.gmcf.or.kr/,HTTP request failed after retries: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1081)>
www.aimonitor.co.kr,3,homepage,RuntimeError,페어시스템,https://www.aimonitor.co.kr/,HTTP request failed after retries: <urlopen error [Errno 11002] getaddrinfo failed>
www.galleryartsol.com,3,homepage,RuntimeError,갤러리아트솔,http://www.galleryartsol.com/,HTTP request failed after retries: <urlopen error [Errno 11001] getaddrinfo failed>
gcfac.or.kr,3,sitemap,HTTPError,금나래아트홀,https://gcfac.or.kr/sitemap.xml,HTTP Error 404: Not Found
www.coramd.co.kr,3,homepage,RuntimeError,코람데오 갤러리 & 스튜디오,http://www.coramd.co.kr/,HTTP request failed after retries: <urlopen error [Errno 11001] getaddrinfo failed>
gc.or.kr,3,homepage,RuntimeError,금천문화원,https://gc.or.kr/,HTTP request failed after retries: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1081)>
www.kfef.co.kr,3,homepage,RuntimeError,K Festival Messe,http://www.kfef.co.kr/,HTTP request failed after retries: <urlopen error [Errno 11001] getaddrinfo failed>
한진아트.kr,3,homepage,UnicodeEncodeError,한진아트센터,http://한진아트.kr/,'latin-1' codec can't encode characters in position 0-3: ordinal not in range(256)
www.kimi.news,3,homepage,RuntimeError,대한민국산업유공자문화원,http://www.kimi.news/,HTTP request failed after retries: <urlopen error [Errno 11001] getaddrinfo failed>
office.kbs.co.kr,3,homepage,RuntimeError,kbs아트홀,http://office.kbs.co.kr/kbsarthall,HTTP request failed after retries: <urlopen error [Errno 11001] getaddrinfo failed>
bit.ly,3,homepage,RuntimeError,수학박물관,https://bit.ly/수학박물관,HTTP request failed after retries: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1081)>
ticketsuda.com,3,homepage,RuntimeError,티수,https://ticketsuda.com/,HTTP request failed after retries: <urlopen error timed out>
igallerist.com,3,homepage,RuntimeError,아이갤러리스트,https://igallerist.com/,HTTP request failed after retries: <urlopen error [WinError 10061] 대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다>
gwanakcrart.com,3,homepage,RuntimeError,관악크라아트센터,http://gwanakcrart.com/,HTTP request failed after retries: <urlopen error [Errno 11001] getaddrinfo failed>
www.seoulwave.co.kr,3,homepage,RuntimeError,서울웨이브 아트센터,http://www.seoulwave.co.kr/,HTTP request failed after retries: <urlopen error [Errno 11002] getaddrinfo failed>
